locus_tag	ftype	length_bp	gene	EC_number	COG	product
GLHBOIPB_01415	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
GLHBOIPB_01416	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
GLHBOIPB_01417	CDS	345				hypothetical protein
GLHBOIPB_01418	CDS	429	mopA		COG2005	Molybdenum-pterin-binding protein MopA
GLHBOIPB_01419	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
GLHBOIPB_01420	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
GLHBOIPB_01421	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
GLHBOIPB_01422	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
GLHBOIPB_01423	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
GLHBOIPB_01424	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
GLHBOIPB_01425	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
GLHBOIPB_01426	CDS	612	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
GLHBOIPB_01427	CDS	1827	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
GLHBOIPB_01428	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
GLHBOIPB_01429	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
GLHBOIPB_01430	CDS	543	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
GLHBOIPB_01431	CDS	768	hycG		COG3260	Formate hydrogenlyase subunit 7
GLHBOIPB_01432	CDS	411				hypothetical protein
GLHBOIPB_01433	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
GLHBOIPB_01434	CDS	756				hypothetical protein
GLHBOIPB_01435	CDS	312	higB_1	3.1.-.-	COG4680	mRNA interferase HigB
GLHBOIPB_01436	CDS	420	higA_2		COG5499	Antitoxin HigA
GLHBOIPB_01437	CDS	429				hypothetical protein
GLHBOIPB_01438	CDS	528	hyfA_3	1.-.-.-	COG1142	Hydrogenase-4 component A
GLHBOIPB_01439	CDS	2253	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
GLHBOIPB_01440	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
GLHBOIPB_01441	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
GLHBOIPB_01442	CDS	1515	norR_2		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
GLHBOIPB_01443	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
GLHBOIPB_01444	CDS	774	srlR_3		COG1349	Glucitol operon repressor
GLHBOIPB_01445	CDS	360				hypothetical protein
GLHBOIPB_01446	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
GLHBOIPB_01447	CDS	372	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
GLHBOIPB_01448	CDS	960	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
GLHBOIPB_01449	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
GLHBOIPB_01450	CDS	1191	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
GLHBOIPB_01451	CDS	498	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
GLHBOIPB_01452	CDS	1062	recA		COG0468	Protein RecA
GLHBOIPB_01453	CDS	501	recX		COG2137	Regulatory protein RecX
GLHBOIPB_01454	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
GLHBOIPB_01455	CDS	186	csrA		COG1551	Carbon storage regulator
GLHBOIPB_01456	CDS	90				hypothetical protein
GLHBOIPB_01457	tRNA	93				tRNA-Ser(gct)
GLHBOIPB_01458	tRNA	77				tRNA-Arg(acg)
GLHBOIPB_01459	tRNA	77				tRNA-Arg(acg)
GLHBOIPB_01460	tRNA	77				tRNA-Arg(acg)
GLHBOIPB_01461	tRNA	77				tRNA-Arg(acg)
GLHBOIPB_01462	tRNA	77				tRNA-Arg(acg)
GLHBOIPB_01463	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
GLHBOIPB_01464	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
GLHBOIPB_01465	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
GLHBOIPB_01466	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
GLHBOIPB_01467	CDS	1113				hypothetical protein
GLHBOIPB_01468	CDS	330				hypothetical protein
GLHBOIPB_01469	CDS	357				hypothetical protein
GLHBOIPB_01470	CDS	1539	emrB			Multidrug export protein EmrB
GLHBOIPB_01471	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
GLHBOIPB_01472	CDS	531	mprA_1		COG1846	Transcriptional repressor MprA
GLHBOIPB_01473	CDS	336				hypothetical protein
GLHBOIPB_01474	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
GLHBOIPB_01475	CDS	1185				putative transporter
GLHBOIPB_01476	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
GLHBOIPB_01477	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
GLHBOIPB_01478	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
GLHBOIPB_01479	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
GLHBOIPB_01480	CDS	2145	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
GLHBOIPB_01481	CDS	411	nrdI		COG1780	Protein NrdI
GLHBOIPB_01482	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
GLHBOIPB_01483	CDS	432				hypothetical protein
GLHBOIPB_01484	CDS	1335	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
GLHBOIPB_01485	CDS	330	ygaM		COG4575	putative protein YgaM
GLHBOIPB_01486	CDS	345				hypothetical protein
GLHBOIPB_01487	CDS	450	alaE			L-alanine exporter AlaE
GLHBOIPB_01488	CDS	405	stpA		COG2916	DNA-binding protein StpA
GLHBOIPB_01489	CDS	525	ygaP		COG0607	Inner membrane protein YgaP
GLHBOIPB_01490	CDS	300	ygaV		COG0640	putative HTH-type transcriptional regulator YgaV
GLHBOIPB_01491	CDS	159				hypothetical protein
GLHBOIPB_01492	CDS	450	kbp		COG1652	Potassium binding protein Kbp
GLHBOIPB_01493	CDS	663	glaR		COG1802	HTH-type transcriptional repressor GlaR
GLHBOIPB_01494	CDS	1401	gabP		COG1113	GABA permease
GLHBOIPB_01495	CDS	1281	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
GLHBOIPB_01496	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
GLHBOIPB_01497	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
GLHBOIPB_01498	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
GLHBOIPB_01499	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
GLHBOIPB_01500	CDS	483	smpB		COG0691	SsrA-binding protein
GLHBOIPB_01501	CDS	477	pasT		COG2867	Persistence and stress-resistance toxin PasT
GLHBOIPB_01502	CDS	291	pasI		COG2914	Persistence and stress-resistance antitoxin PasI
GLHBOIPB_01503	CDS	342	bamE		COG2913	Outer membrane protein assembly factor BamE
GLHBOIPB_01504	CDS	1662	recN		COG0497	DNA repair protein RecN
GLHBOIPB_01505	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
GLHBOIPB_01506	CDS	594	grpE		COG0576	Protein GrpE
GLHBOIPB_01507	CDS	1242				hypothetical protein
GLHBOIPB_01508	CDS	867	ypjD		COG4137	Inner membrane protein YpjD
GLHBOIPB_01509	CDS	1362	ffh		COG0541	Signal recognition particle protein
GLHBOIPB_01510	CDS	249	rpsP		COG0228	30S ribosomal protein S16
GLHBOIPB_01511	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
GLHBOIPB_01512	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
GLHBOIPB_01513	CDS	348	rplS		COG0335	50S ribosomal protein L19
GLHBOIPB_01514	CDS	483	pal_1			Peptidoglycan-associated lipoprotein
GLHBOIPB_01515	CDS	1227	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
GLHBOIPB_01516	CDS	519				hypothetical protein
GLHBOIPB_01517	CDS	363				hypothetical protein
GLHBOIPB_01518	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
GLHBOIPB_01519	CDS	1122	tyrA		COG0287	T-protein
GLHBOIPB_01520	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
GLHBOIPB_01521	CDS	342	raiA		COG1544	Ribosome-associated inhibitor A
GLHBOIPB_01522	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
GLHBOIPB_01523	CDS	981	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
GLHBOIPB_01524	CDS	732	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
GLHBOIPB_01525	CDS	2574	clpB		COG0542	Chaperone protein ClpB
GLHBOIPB_01526	rRNA	1538				16S ribosomal RNA
GLHBOIPB_01527	tRNA	76				tRNA-Glu(ttc)
GLHBOIPB_01528	rRNA	2901				23S ribosomal RNA
GLHBOIPB_01529	rRNA	111				5S ribosomal RNA
GLHBOIPB_01530	CDS	1299	kgtP_1			Alpha-ketoglutarate permease
GLHBOIPB_01531	CDS	273				hypothetical protein
GLHBOIPB_01532	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
GLHBOIPB_01533	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
GLHBOIPB_01534	CDS	699				hypothetical protein
GLHBOIPB_01535	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
GLHBOIPB_01536	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
GLHBOIPB_01537	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
GLHBOIPB_01538	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
GLHBOIPB_01539	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
GLHBOIPB_01540	CDS	882	cmpR			HTH-type transcriptional activator CmpR
GLHBOIPB_01541	CDS	1335	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
GLHBOIPB_01542	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
GLHBOIPB_01543	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
GLHBOIPB_01544	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
GLHBOIPB_01545	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
GLHBOIPB_01546	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
GLHBOIPB_01547	CDS	480	rseC		COG3086	Protein RseC
GLHBOIPB_01548	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
GLHBOIPB_01549	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
GLHBOIPB_01550	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
GLHBOIPB_01551	CDS	906	era_1		COG1159	GTPase Era
GLHBOIPB_01552	CDS	729	recO		COG1381	DNA repair protein RecO
GLHBOIPB_01553	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
GLHBOIPB_01554	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
GLHBOIPB_01555	CDS	261	yfhL		COG1145	Ferredoxin YfhL
GLHBOIPB_01556	CDS	849	murR		COG1737	HTH-type transcriptional regulator MurR
GLHBOIPB_01557	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
GLHBOIPB_01558	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
GLHBOIPB_01559	CDS	1557	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
GLHBOIPB_01560	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
GLHBOIPB_01561	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
GLHBOIPB_01562	CDS	714	qseG			Quorum-sensing regulator protein G
GLHBOIPB_01563	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
GLHBOIPB_01564	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
GLHBOIPB_01565	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
GLHBOIPB_01566	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
GLHBOIPB_01567	CDS	1194	mlc_1		COG1940	Protein mlc
GLHBOIPB_01568	CDS	3282	lapB_1			Lipopolysaccharide assembly protein B
GLHBOIPB_01569	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
GLHBOIPB_01570	CDS	1512	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
GLHBOIPB_01571	CDS	999	rbsC_2		COG1172	Ribose import permease protein RbsC
GLHBOIPB_01572	CDS	1062	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
GLHBOIPB_01573	CDS	873	yphB		COG2017	putative protein YphB
GLHBOIPB_01574	CDS	423	yphA_1		COG2259	Inner membrane protein YphA
GLHBOIPB_01575	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
GLHBOIPB_01576	CDS	1281				hypothetical protein
GLHBOIPB_01577	CDS	855			COG1073	putative protein
GLHBOIPB_01578	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
GLHBOIPB_01579	CDS	741	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
GLHBOIPB_01580	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
GLHBOIPB_01581	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
GLHBOIPB_01582	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
GLHBOIPB_01583	CDS	324	iscA		COG0316	Iron-binding protein IscA
GLHBOIPB_01584	CDS	516	hscB		COG1076	Co-chaperone protein HscB
GLHBOIPB_01585	CDS	1851	hscA		COG0443	Chaperone protein HscA
GLHBOIPB_01586	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
GLHBOIPB_01587	CDS	201	iscX		COG2975	Protein IscX
GLHBOIPB_01588	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
GLHBOIPB_01589	CDS	777				hypothetical protein
GLHBOIPB_01590	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
GLHBOIPB_01591	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
GLHBOIPB_01592	CDS	2277	pbpC		COG4953	Penicillin-binding protein 1C
GLHBOIPB_01593	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
GLHBOIPB_01594	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
GLHBOIPB_01595	CDS	1008	rodZ		COG1426	Cytoskeleton protein RodZ
GLHBOIPB_01596	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
GLHBOIPB_01597	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
GLHBOIPB_01598	CDS	621				hypothetical protein
GLHBOIPB_01599	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
GLHBOIPB_01600	CDS	1473	der_3		COG1160	GTPase Der
GLHBOIPB_01601	CDS	216	yfgJ			putative protein YfgJ
GLHBOIPB_01602	CDS	2178				hypothetical protein
GLHBOIPB_01603	CDS	978				hypothetical protein
GLHBOIPB_01604	CDS	8052				hypothetical protein
GLHBOIPB_01605	CDS	1377	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
GLHBOIPB_01606	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
GLHBOIPB_01607	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
GLHBOIPB_01608	CDS	540				hypothetical protein
GLHBOIPB_01609	CDS	516				hypothetical protein
GLHBOIPB_01610	CDS	174	yfgG			Protein YfgG
GLHBOIPB_01611	CDS	153				hypothetical protein
GLHBOIPB_01612	CDS	2244	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
GLHBOIPB_01613	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
GLHBOIPB_01614	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
GLHBOIPB_01615	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
GLHBOIPB_01616	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
GLHBOIPB_01617	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
GLHBOIPB_01618	CDS	1290	uraA		COG2233	Uracil permease
GLHBOIPB_01619	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
GLHBOIPB_01620	CDS	360	yfgD		COG1393	putative protein YfgD
GLHBOIPB_01621	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
GLHBOIPB_01622	CDS	1062	yhhT_2		COG0628	Putative transport protein YhhT
GLHBOIPB_01623	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
GLHBOIPB_01624	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
GLHBOIPB_01625	CDS	879	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
GLHBOIPB_01626	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
GLHBOIPB_01627	CDS	231				hypothetical protein
GLHBOIPB_01628	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
GLHBOIPB_01629	CDS	864			COG2321	putative protein
GLHBOIPB_01630	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
GLHBOIPB_01631	CDS	699				hypothetical protein
GLHBOIPB_01632	CDS	201				hypothetical protein
GLHBOIPB_01633	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
GLHBOIPB_01634	CDS	357	yffB		COG1393	Protein YffB
GLHBOIPB_01635	CDS	3114	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
GLHBOIPB_01636	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
GLHBOIPB_01637	CDS	1980		1.18.1.2		Ferredoxin--NADP reductase
GLHBOIPB_01638	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
GLHBOIPB_01639	CDS	999				hypothetical protein
GLHBOIPB_01640	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
GLHBOIPB_01641	CDS	951	tal	2.2.1.2		Transaldolase
GLHBOIPB_01642	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
GLHBOIPB_01643	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
GLHBOIPB_01644	CDS	480	pduV		COG4917	Propanediol utilization protein PduV
GLHBOIPB_01645	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
GLHBOIPB_01646	CDS	804				hypothetical protein
GLHBOIPB_01647	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
GLHBOIPB_01648	CDS	336	eutM		COG4577	Ethanolamine utilization protein EutM
GLHBOIPB_01649	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
GLHBOIPB_01650	CDS	1137	proA_1	1.2.1.41		Gamma-glutamyl phosphate reductase
GLHBOIPB_01651	CDS	837	ftsA_2			Cell division protein FtsA
GLHBOIPB_01652	CDS	1188	mdh_2	1.1.1.244		NAD-dependent methanol dehydrogenase
GLHBOIPB_01653	CDS	1227				hypothetical protein
GLHBOIPB_01654	CDS	1404				hypothetical protein
GLHBOIPB_01655	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
GLHBOIPB_01656	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
GLHBOIPB_01657	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
GLHBOIPB_01658	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
GLHBOIPB_01659	CDS	1053				hypothetical protein
GLHBOIPB_01660	CDS	903	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
GLHBOIPB_01661	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
GLHBOIPB_01662	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
GLHBOIPB_01663	CDS	450	yfeZ			Inner membrane protein YfeZ
GLHBOIPB_01664	CDS	576	yfeY			putative protein YfeY
GLHBOIPB_01665	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
GLHBOIPB_01666	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
GLHBOIPB_01667	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
GLHBOIPB_01668	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
GLHBOIPB_01669	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
GLHBOIPB_01670	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
GLHBOIPB_01671	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
GLHBOIPB_01672	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
GLHBOIPB_01673	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
GLHBOIPB_01674	CDS	369				hypothetical protein
GLHBOIPB_01675	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
GLHBOIPB_01676	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
GLHBOIPB_01677	CDS	1728	ptsI_2	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
GLHBOIPB_01678	CDS	258	ptsH_2		COG1925	Phosphocarrier protein HPr
GLHBOIPB_01679	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
GLHBOIPB_01680	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
GLHBOIPB_01681	CDS	999	zipA		COG3115	Cell division protein ZipA
GLHBOIPB_01682	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
GLHBOIPB_01683	CDS	219				hypothetical protein
GLHBOIPB_01684	CDS	999				hypothetical protein
GLHBOIPB_01685	CDS	927	cynR_1			HTH-type transcriptional regulator CynR
GLHBOIPB_01686	CDS	765				hypothetical protein
GLHBOIPB_01687	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
GLHBOIPB_01688	CDS	1257	xapB			Xanthosine permease
GLHBOIPB_01689	CDS	885	hcaR_1			Hca operon transcriptional activator HcaR
GLHBOIPB_01690	tRNA	76				tRNA-Lys(ttt)
GLHBOIPB_01691	tRNA	76				tRNA-Val(tac)
GLHBOIPB_01692	tRNA	76				tRNA-Val(tac)
GLHBOIPB_01693	tRNA	76				tRNA-Val(tac)
GLHBOIPB_01694	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
GLHBOIPB_01695	CDS	372				hypothetical protein
GLHBOIPB_01696	CDS	360				hypothetical protein
GLHBOIPB_01697	tRNA	76				tRNA-Ala(ggc)
GLHBOIPB_01698	tRNA	76				tRNA-Ala(ggc)
GLHBOIPB_01699	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
GLHBOIPB_01700	CDS	1203	nupC		COG1972	Nucleoside permease NupC
GLHBOIPB_01701	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
GLHBOIPB_01702	CDS	327				hypothetical protein
GLHBOIPB_01703	CDS	1257	yfeO			Putative ion-transport protein YfeO
GLHBOIPB_01704	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
GLHBOIPB_01705	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
GLHBOIPB_01706	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
GLHBOIPB_01707	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
GLHBOIPB_01708	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
GLHBOIPB_01709	CDS	2496	fryA_1		COG1080	Multiphosphoryl transfer protein 1
GLHBOIPB_01710	CDS	858	rhaR_2			HTH-type transcriptional activator RhaR
GLHBOIPB_01711	CDS	738	ypdB		COG3279	Transcriptional regulatory protein YpdB
GLHBOIPB_01712	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
GLHBOIPB_01713	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
GLHBOIPB_01714	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
GLHBOIPB_01715	CDS	243				hypothetical protein
GLHBOIPB_01716	CDS	276				hypothetical protein
GLHBOIPB_01717	CDS	633	yfdX			Protein YfdX
GLHBOIPB_01718	CDS	1251	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
GLHBOIPB_01719	CDS	1695	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
GLHBOIPB_01720	CDS	945				hypothetical protein
GLHBOIPB_01721	CDS	1146	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
GLHBOIPB_01722	CDS	3594	evgS_2	2.7.13.3	COG0784	Sensor protein EvgS
GLHBOIPB_01723	CDS	615	evgA			DNA-binding transcriptional activator EvgA
GLHBOIPB_01724	CDS	1164	emrK		COG1566	putative multidrug resistance protein EmrK
GLHBOIPB_01725	CDS	1539	emrY			putative multidrug resistance protein EmrY
GLHBOIPB_01726	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
GLHBOIPB_01727	CDS	1338	dsdX			D-serine transporter DsdX
GLHBOIPB_01728	CDS	948	dsdC		COG0583	HTH-type transcriptional regulator DsdC
GLHBOIPB_01729	CDS	570	xerD_1		COG4974	Tyrosine recombinase XerD
GLHBOIPB_01730	CDS	630	xerD_2		COG4974	Tyrosine recombinase XerD
GLHBOIPB_01731	CDS	621				hypothetical protein
GLHBOIPB_01732	CDS	7950				hypothetical protein
GLHBOIPB_01733	CDS	531				hypothetical protein
GLHBOIPB_01734	tRNA	75				tRNA-Arg(cct)
GLHBOIPB_01735	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
GLHBOIPB_01736	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
GLHBOIPB_01737	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
GLHBOIPB_01738	CDS	285				hypothetical protein
GLHBOIPB_01739	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
